nro,launchDate,name,contractor,class,subType,ejector,missionType,missionStatus,functionalStatus,launchVehicle
72,12/8/2010,QBX 1,Naval Research Laboratory,mil,3U,PPOD,T,5,D,Falcon-9
73,12/8/2010,PERSEUS 003,Los Alamos National Laboratory,mil,1.5U,PPOD,M,5,D,Falcon-9
74,12/8/2010,PERSEUS 002,Los Alamos National Laboratory,mil,1.5U,PPOD,M,5,D,Falcon-9
75,12/8/2010,PERSEUS 001,Los Alamos National Laboratory,mil,1.5U,PPOD,M,5,D,Falcon-9
76,12/8/2010,PERSEUS 000,Los Alamos National Laboratory,mil,1.5U,PPOD,M,5,D,Falcon-9
77,12/8/2010,Mayflower-Caerus,University of Southern California,uni,3U,PPOD,T,2,D,Falcon-9
78,1/17/2011,NANOSAIL-D-002,NASA Ames,civ,3U,PPOD,T,5,D,Minotaur-4 HAPS
79,3/4/2011,KySat 1,Kentucky Space,uni,1U,PPOD,E,1,A,Taurus-3110
80,3/4/2011,Hermes,Colorado Space Grant Consortium,uni,1U,PPOD,T,1,A,Taurus-3110
81,3/4/2011,E1P (Explorer 1 Prime),Montana State University,uni,1U,PPOD,S,1,A,Taurus-3110
82,7/20/2011,PSSC-2,Aerospace Corporation,mil,2U,SSPL,T,5,D,Shuttle
83,10/12/2011,JUGNU,Indian Institute of Technology Kanpur,uni,3U,JugPod,E,4,A,PSLV-CA
84,10/28/2011,RAX 2,University of Michigan,uni,3U,PPOD,S,5,N,Delta-7920-10C
85,10/28/2011,M-Cubed (w/HRBE),Montana State University,uni,2U,PPOD,T,2,S,Delta-7920-10C
86,10/28/2011,HRBE (Explorer-1 PRIME),University of Michigan,uni,1U,PPOD,S,4,A,Delta-7920-10C
87,10/28/2011,DICE 2 (DICE Y),Utah State University,uni,1.5U,PPOD,S,5,A,Delta-7920-10C
88,10/28/2011,DICE 1 (DICE X),Utah State University,uni,1.5U,PPOD,S,5,A,Delta-7920-10C
89,10/28/2011,AubieSat1 (AO-71),Auburn University,uni,1U,PPOD,S,3,S,Delta-7920-10C
90,2/13/2012,e-st@r,Politecnico di Torino,uni,1U,PPOD,T,2,D,Vega
91,2/13/2012,XaTcobeo,University of Vigo,uni,1U,PPOD,E,5,D,Vega
92,2/13/2012,UniCubeSat-GGs,"University of Rome ""La Sapienza""",uni,1U,PPOD,T,2,D,Vega
93,2/13/2012,ROBUSTA,University of Montpellier II,uni,1U,PPOD,T,2,D,Vega
94,2/13/2012,PW-Sat 1,Warsaw University of Technology,uni,1U,PPOD,T,2,D,Vega
95,2/13/2012,MaSat 1 (MO-72),Budapest University of Technology and Economics,uni,1U,PPOD,E,5,D,Vega
96,2/13/2012,Goliat,University of Bucharest,uni,1U,PPOD,E,2,D,Vega
97,9/13/2012,SMDC ONE 1.2,MilTec,mil,3U,PPOD,C,5,A,Atlas-5(411)
98,9/13/2012,SMDC ONE 1.1,MilTec,mil,3U,PPOD,C,5,A,Atlas-5(411)
99,9/13/2012,Re (STARE),Lawrence Livermore National Laboratory,civ,3U,PPOD,T,3,N,Atlas-5(411)
100,9/13/2012,CXBN,Kentucky Space,uni,2U,PPOD,S,3,N,Atlas-5(411)
101,9/13/2012,CSSWE,Colorado LASP,uni,3U,PPOD,S,5,N,Atlas-5(411)
102,9/13/2012,CP5,Cal Poly,uni,1U,PPOD,T,3,N,Atlas-5(411)
103,9/13/2012,CINEMA 1,CINEMA consortium,civ,3U,PPOD,S,3,A,Atlas-5(411)
104,9/13/2012,AeroCube 4.5B,Aerospace Corporation,mil,1U,PPOD,T,5,A,Atlas-5(411)
105,9/13/2012,AeroCube 4.5A,Aerospace Corporation,mil,1U,PPOD,T,5,A,Atlas-5(411)
106,9/13/2012,AeroCube 4.0,Aerospace Corporation,mil,1U,PPOD,T,5,N,Atlas-5(411)
107,9/13/2012,Aeneas,University of Southern California,mil,3U,PPOD,C,3,A,Atlas-5(411)
108,10/4/2012,We Wish,Meisei Electric Co,com,1U,J-SSOD,E,2,D,H-2B-304
109,10/4/2012,TechEdSat,San Jose State University,uni,1U,J-SSOD,T,4,D,H-2B-304
110,10/4/2012,Raiko,Tohoku University,uni,2U,J-SSOD,E,5,D,H-2B-304
111,10/4/2012,FITSAT-1 (NIWAKA),Fukuoka Institute of Technology,uni,1U,J-SSOD,T,5,D,H-2B-304
112,10/4/2012,F1,FPT Technology Research Institute,uni,1U,J-SSOD,E,2,D,H-2B-304
113,2/25/2013,STRAND-1,University of Surrey,uni,3U,ISIPOD,T,4,A,PSLV-CA
114,2/25/2013,AAUSAT 3,University of Aalborg,uni,1U,XPOD,E,5,A,PSLV-CA
115,4/19/2013,SOMP,Technical University of Dresden,uni,1U,PSL,E,3,A,Soyuz-2-1b
116,4/19/2013,OSSI 1,Hojun Song,com,1U,PPOD,E,2,D,Soyuz-2-1b
117,4/19/2013,Dove 2,Planet Labs,com,3U,ISIPOD,E,5,N,Soyuz-2-1b
118,4/19/2013,BeeSat 3,Technical University of Berlin,uni,1U,PSL,T,2,A,Soyuz-2-1b
119,4/19/2013,BeeSat 2,Technical University of Berlin,uni,1U,PSL,T,4,A,Soyuz-2-1b
120,4/21/2013,Graham (PhoneSat 1b),NASA Ames,civ,1U,ISIPOD,T,5,D,Antares-110
121,4/21/2013,Dove 1,Planet Labs,com,3U,ISIPOD,T,5,D,Antares-110
122,4/21/2013,Bell (PhoneSat 1c),NASA Ames,civ,1U,ISIPOD,T,5,D,Antares-110
123,4/21/2013,Alexander (PhoneSat 1a),NASA Ames,civ,1U,ISIPOD,T,5,D,Antares-110
124,4/26/2013,TURKSAT 3USAT,Istanbul Technical University,uni,3U,PPOD,C,3,N,Long March 2D
125,4/26/2013,NEE 01 Pegaso,EXA,civ,1U,ISIPOD,T,4,N,Long March 2D
126,4/26/2013,CubeBug-1,Ministry of Science Technology & Productive Innovation,civ,2U,PPOD,E,4,A,Long March 2D
127,5/7/2013,ESTCube-1,University of Tartu,uni,1U,PPOD,T,4,N,Vega
128,9/29/2013,POPACS 1/2/3,Utah State University,civ,3U,CSD,S,4,D,Falcon-9 v1.1
129,11/19/2013,PicoDragon,Vietnam National Satellite Center,civ,1U,J-SSOD,E,4,D,HTV 4
130,11/19/2013,ArduSat X,NanoSatisfi,com,1U,J-SSOD,E,4,D,HTV 4
131,11/19/2013,ArduSat 1,NanoSatisfi,com,1U,J-SSOD,E,3,D,HTV 4
132,11/20/2013,TechEdSat-3,San Jose State University,uni,3U,J-SSOD,T,4,D,HTV 4
133,11/20/2013,TJSat,Thomas Jefferson High School,uni,1U,PPOD,E,2,D,Minotaur-1
134,11/20/2013,SwampSat,University of Florida,uni,1U,PPOD,E,2,N,Minotaur-1
135,11/20/2013,SPA-1 Trailblazer,COSMIAC,uni,1U,PPOD,T,2,N,Minotaur-1
136,11/20/2013,SENSE SV2,Boeing,mil,3U,PPOD,T,4,A,Minotaur-1
137,11/20/2013,SENSE SV1,Boeing,mil,3U,PPOD,T,4,D,Minotaur-1
138,11/20/2013,Prometheus 4.2,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,A,Minotaur-1
139,11/20/2013,Prometheus 4.1,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,A,Minotaur-1
140,11/20/2013,Prometheus 3.2,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,D,Minotaur-1
141,11/20/2013,Prometheus 3.1,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,A,Minotaur-1
142,11/20/2013,Prometheus 2.2,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,A,Minotaur-1
143,11/20/2013,Prometheus 2.1,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,A,Minotaur-1
144,11/20/2013,Prometheus 1.2,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,D,Minotaur-1
145,11/20/2013,Prometheus 1.1,Los Alamos National Laboratory,mil,1.5U,PPOD,T,4,A,Minotaur-1
146,11/20/2013,PhoneSat 2.4,NASA Ames,civ,1U,PPOD,T,3,A,Minotaur-1
147,11/20/2013,ORSES,MilTec,mil,3U,PPOD,T,4,A,Minotaur-1
148,11/20/2013,ORS Tech 2,Johns Hopkins APL,mil,3U,PPOD,T,4,D,Minotaur-1
149,11/20/2013,ORS Tech 1,Johns Hopkins APL,mil,3U,PPOD,T,4,D,Minotaur-1
150,11/20/2013,NPS-SCAT,Naval Postgraduate School,uni,1U,PPOD,T,3,A,Minotaur-1
151,11/20/2013,Lunar,Vermont Technical College,uni,1U,PPOD,T,4,A,Minotaur-1
152,11/20/2013,KYSat II,Kentucky Space,uni,1U,PPOD,T,4,N,Minotaur-1
153,11/20/2013,Horus,Lawrence Livermore National Laboratory,mil,3U,PPOD,T,2,N,Minotaur-1
154,11/20/2013,Ho'oponopono-2,University of Hawaii,uni,3U,PPOD,C,2,N,Minotaur-1
155,11/20/2013,FireFly,NASA Goddard,civ,3U,PPOD,S,4,A,Minotaur-1
156,11/20/2013,DragonSat,Drexel University,uni,1U,PPOD,T,2,N,Minotaur-1
157,11/20/2013,ChargerSat,University of Alabama-Huntsville,uni,1U,PPOD,T,2,N,Minotaur-1
158,11/20/2013,COPPER,Saint Louis University,uni,1U,PPOD,T,2,N,Minotaur-1
159,11/20/2013,CAPE 2,University of Louisiana,uni,1U,PPOD,E,4,D,Minotaur-1
160,11/20/2013,Black Knight,US Military Academy,uni,1U,PPOD,E,2,D,Minotaur-1
161,11/21/2013,ZACUBE 1,Cape Peninsula University of Technology,uni,1U,ISIPOD,C,4,A,Dnepr-1
162,11/21/2013,VELOX-P 2,Nanyang Technological University,uni,1U,ISIPOD,E,4,N,Dnepr-1
163,11/21/2013,UWE 3,University of Würzburg,uni,1U,ISIPOD,E,4,A,Dnepr-1
164,11/21/2013,Triton 1,ISIS-BV,com,3U,ISIPOD,C,3,N,Dnepr-1
165,11/21/2013,PUCP-SAT 1,Pontifical Catholic University of Peru,uni,1U,PEPPOD,E,3,S,Dnepr-1
166,11/21/2013,OPTOS,INTA,civ,3U,ISIPOD,T,3,N,Dnepr-1
167,11/21/2013,NEE 02 Krysaor,EXA,civ,1U,ISIPOD,T,4,A,Dnepr-1
168,11/21/2013,ICube 1,Institute of Space Technology Islamabad,uni,1U,PEPPOD,E,2,N,Dnepr-1
169,11/21/2013,HumSat-D,University of Vigo,uni,1U,PEPPOD,C,4,A,Dnepr-1
170,11/21/2013,HiNCube,Narvik University College,uni,1U,ISIPOD,E,2,N,Dnepr-1
171,11/21/2013,GATOSS (GOMX 1),GOMSpace,com,2U,XPOD,E,4,A,Dnepr-1
172,11/21/2013,First-MOVE,Technical University of Munich,uni,1U,ISIPOD,T,3,N,Dnepr-1
173,11/21/2013,FUNcube 1,Amsat-UK,civ,1U,ISIPOD,E,4,A,Dnepr-1
174,11/21/2013,Dove 4 (0712),Planet Labs,com,3U,PEPPOD,T,1,A,Dnepr-1
